Şirket İsmi,Şehir,sermaye_artirimi_orani,ortak_satisi_orani,borc_odeme,yatirim_sermayesi,isletme_sermayesi,fiyat_istikrari_gun,halka_aciklik_orani,sirket_yasi,hasilat_1_yil_once (Milyar),hasilat_2_yil_once (Milyar),hasilat_3_yil_once (Milyar),brut_kar_1_yil_once (Milyar),brut_kar_2_yil_once (Milyar),brut_kar_3_yil_once (Milyar),halka_arz_buyuklugu (Milyar TL),performans
Oba Makarnacılık San. ve Tic. A.Ş.,Gaziantep,0.75,0.25,15.0,45.0,35.0,30,20,58,11.9,11.0,5.2,1.6,1.3,1.1,3.78,average
Altınay Savunma Teknolojileri A.Ş.,İstanbul,0.6,0.4,5.0,70.0,25.0,15,25,10,1.1,0.59,0.26,0.47,0.3,0.17,1.88,good
Koç Metalurji A.Ş.,Hatay,0.84,0.16,0.0,70.0,30.0,0,27,31,10.9,10.9,17.9,0.79,0.45,1.4,2.6,bad
Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,Ankara,0.67,0.33,10.0,60.0,30.0,30,24,43,6.2,8.0,6.3,1.1,0.86,0.69,2.6,average
Koton Mağazacılık Tekstil San. ve Tic. A.Ş.,İstanbul,0.25,0.75,0.0,35.0,65.0,15,16,30,17.1,16.0,14.3,8.9,8.4,6.2,4.2,bad
Artemis Halı A.Ş.,İstanbul,1.0,0.0,27.5,45.0,27.5,0,28,12,0.52,0.31,0.22,0.18,0.13,0.06,0.5,good
Limak Doğu Anadolu Çimento San. ve Tic. A.Ş.,Siirt,0.83,0.17,0.0,0.0,100.0,30,30,26,1.4,1.1,0.54,0.68,0.36,0.04,2.5,good
Pasifik Donanım ve Yazılım Bilgi Teknolojileri A.Ş.,İstanbul,0.52,0.48,0.0,80.0,20.0,0,20,9,0.48,0.4,0.26,0.12,0.07,0.06,0.9,good
Lila Kağıt San. ve Tic. A.Ş.,İstanbul,0.75,0.25,10.0,60.0,30.0,15,20,40,9.3,12.6,6.5,2.8,4.3,2.2,4.5,bad
Özyaşar Tel ve Galvanizleme San. A.Ş.,İstanbul,0.58,0.42,0.0,30.0,70.0,0,20,51,4.8,6.3,5.4,0.71,0.96,0.9,0.9,average
Rönesans Gayrimenkul Yatırım A.Ş.,Ankara,0.82,0.18,70.0,17.5,15.0,30,10,18,5.0,4.2,3.3,3.1,2.6,2.2,4.5,bad
Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.,İstanbul,0.8,0.2,22.5,55.0,22.5,30,20,39,1.5,1.6,1.7,0.58,0.52,0.63,1.7,average
Altınkılıç Gıda ve Süt San. Tic. A.Ş.,İstanbul,1.0,0.0,13.5,11.0,75.5,0,20,28,1.8,1.5,1.2,0.51,0.42,0.38,0.8,good
Alves Kablo San. ve Tic. A.Ş.,Ankara,1.0,0.0,32.5,37.5,32.5,0,25,8,1.6,0.81,0.42,0.24,0.1,0.04,0.8,good
Odine Solutions Teknoloji Tic. ve San. A.Ş.,İstanbul,0.5,0.5,0.0,0.0,42.5,15,40,25,0.77,0.33,0.2,0.38,0.17,0.08,1.3,good
Bor Şeker A.Ş.,İstanbul,0.57,0.43,0.0,50.0,50.0,30,29,8,1.2,0.56,0.52,0.47,0.21,0.08,1.9,good
Onur Yüksek Teknoloji A.Ş.,Ankara,0.65,0.35,20.0,0.0,10.0,0,20,33,0.59,0.61,0.5,0.25,0.25,0.27,1.0,good
Mogan Enerji Yatırım Holding A.Ş.,Ankara,0.8,0.2,45.0,0.0,55.0,15,8,44,7.9,10.8,3.2,2.3,2.9,1.1,3.0,good
Ic Enterra Yenilenebilir Enerji A.Ş.,Ankara,0.61,0.39,0.0,32.5,66.5,15,20,5,2.8,3.1,1.6,1.2,2.1,0.8,3.7,average
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.,İstanbul,0.73,0.27,0.0,0.0,97.5,30,27,26,5.4,4.0,3.4,0.48,0.28,0.15,1.3,bad
